secid,timeframe,feature_set,label_set,signal_time,horizon_minutes,forward_return_pct,max_runup_pct,max_drawdown_pct,label_long,label_short,long_pnl_pct,short_pnl_pct,atr_14,bearish_engulfing,bollinger_band_pct,bullish_engulfing,candle_body_pct,ema_ratio_12_26,intraday_range_pct,lower_shadow_pct,macd_hist,macd_line,macd_signal,price_position_20,return_1,rsi_14,sma_ratio_5_20,stoch_d_3,stoch_k_14,upper_shadow_pct,volatility_20,volume_zscore_20,news_count_60m,risk_alerts_60m,news_count_240m,risk_alerts_240m,news_count_1440m,risk_alerts_1440m
GAZP,1h,tech_v2,swing_v1,2024-10-02T13:00:00+0000,240,-0.02404129793510318,0.0014749262536874414,0.025811209439528023,False,False,-0.015,0.02404129793510318,1.0228571428571402,0.0,0.2919830801587602,0.0,-0.00014747087450236123,-0.0030432702036675696,0.005014749262536923,0.001474708745022774,0.033228971840639665,-0.41544108914567346,-0.4486700609863131,0.23333333333332953,-0.00014747087450239782,36.68528864059585,-0.0009904258831296975,0.4278811415441681,0.42647058823529305,0.003391830113552632,0.003942261994274604,-0.7644360996322779,0,0,0,0,0,0
GAZP,1h,tech_v2,swing_v1,2024-10-02T13:00:00+0000,720,-0.03230088495575218,0.0014749262536874414,0.03576696165191736,False,True,-0.015,0.03,1.0228571428571402,0.0,0.2919830801587602,0.0,-0.00014747087450236123,-0.0030432702036675696,0.005014749262536923,0.001474708745022774,0.033228971840639665,-0.41544108914567346,-0.4486700609863131,0.23333333333332953,-0.00014747087450239782,36.68528864059585,-0.0009904258831296975,0.4278811415441681,0.42647058823529305,0.003391830113552632,0.003942261994274604,-0.7644360996322779,0,0,0,0,0,0
GAZP,1h,tech_v2,swing_v1,2024-10-02T13:00:00+0000,1440,-0.014306784660766946,0.0014749262536874414,0.038938053097345146,False,True,-0.015,0.03,1.0228571428571402,0.0,0.2919830801587602,0.0,-0.00014747087450236123,-0.0030432702036675696,0.005014749262536923,0.001474708745022774,0.033228971840639665,-0.41544108914567346,-0.4486700609863131,0.23333333333332953,-0.00014747087450239782,36.68528864059585,-0.0009904258831296975,0.4278811415441681,0.42647058823529305,0.003391830113552632,0.003942261994274604,-0.7644360996322779,0,0,0,0,0,0
SBER,1h,tech_v2,swing_v1,2024-10-02T13:00:00+0000,240,-0.013160863352635933,0.00022561480033091025,0.01334887568624506,False,False,-0.013160863352635933,0.013160863352635933,1.1942857142857204,0.0,0.3321217591854396,0.0,-0.0022510692578975866,-0.0005806789143913971,0.0044370910731744255,0.0016132663014932348,0.06298234119191448,-0.15486433623686935,-0.21784667742878383,0.25327510917030277,-0.002213634487674865,48.62842892768063,0.0012762475319623157,0.6724999999999994,0.48499999999999943,0.00056276731447429,0.0029097807921860796,-0.2961868176953709,0,0,0,0,0,0
SBER,1h,tech_v2,swing_v1,2024-10-02T13:00:00+0000,720,-0.021809430698653876,0.00022561480033091025,0.03286455591486805,False,True,-0.015,0.03,1.1942857142857204,0.0,0.3321217591854396,0.0,-0.0022510692578975866,-0.0005806789143913971,0.0044370910731744255,0.0016132663014932348,0.06298234119191448,-0.15486433623686935,-0.21784667742878383,0.25327510917030277,-0.002213634487674865,48.62842892768063,0.0012762475319623157,0.6724999999999994,0.48499999999999943,0.00056276731447429,0.0029097807921860796,-0.2961868176953709,0,0,0,0,0,0
SBER,1h,tech_v2,swing_v1,2024-10-02T13:00:00+0000,1440,-0.007332481010754263,0.00022561480033091025,0.03286455591486805,False,True,-0.015,0.03,1.1942857142857204,0.0,0.3321217591854396,0.0,-0.0022510692578975866,-0.0005806789143913971,0.0044370910731744255,0.0016132663014932348,0.06298234119191448,-0.15486433623686935,-0.21784667742878383,0.25327510917030277,-0.002213634487674865,48.62842892768063,0.0012762475319623157,0.6724999999999994,0.48499999999999943,0.00056276731447429,0.0029097807921860796,-0.2961868176953709,0,0,0,0,0,0
GAZP,1h,tech_v2,swing_v1,2024-10-02T14:00:00+0000,240,-0.020512440758293705,0.0027399289099526406,0.024733412322274908,False,False,-0.015,0.020512440758293705,1.0149999999999986,0.0,0.15215106221716873,0.0,-0.004203229850306183,-0.003437652247611944,0.005924170616113829,0.00029496349826703075,-0.016187196065666598,-0.46890405606839636,-0.45271686000272976,0.04912280701753917,-0.004129793510324498,37.73946360153255,-0.0016744759918331242,0.3246428765411974,0.22058823529411564,0.0014010766167686579,0.004003994636844619,-0.7056980367754733,0,0,0,0,0,0
GAZP,1h,tech_v2,swing_v1,2024-10-02T14:00:00+0000,720,-0.029546800947867158,0.0027399289099526406,0.031768364928909894,False,True,-0.015,0.03,1.0149999999999986,0.0,0.15215106221716873,0.0,-0.004203229850306183,-0.003437652247611944,0.005924170616113829,0.00029496349826703075,-0.016187196065666598,-0.46890405606839636,-0.45271686000272976,0.04912280701753917,-0.004129793510324498,37.73946360153255,-0.0016744759918331242,0.3246428765411974,0.22058823529411564,0.0014010766167686579,0.004003994636844619,-0.7056980367754733,0,0,0,0,0,0
GAZP,1h,tech_v2,swing_v1,2024-10-02T14:00:00+0000,1440,-0.008664099526066258,0.0027399289099526406,0.03495260663507108,False,True,-0.015,0.03,1.0149999999999986,0.0,0.15215106221716873,0.0,-0.004203229850306183,-0.003437652247611944,0.005924170616113829,0.00029496349826703075,-0.016187196065666598,-0.46890405606839636,-0.45271686000272976,0.04912280701753917,-0.004129793510324498,37.73946360153255,-0.0016744759918331242,0.3246428765411974,0.22058823529411564,0.0014010766167686579,0.004003994636844619,-0.7056980367754733,0,0,0,0,0,0
SBER,1h,tech_v2,swing_v1,2024-10-02T14:00:00+0000,240,-0.024967941464886494,0.0009428980915742627,0.024967941464886494,False,False,-0.015,0.024967941464886494,1.2028571428571493,0.0,0.08552162646463951,0.0,-0.0030831704015641197,-0.0009569672873340762,0.003281285358678451,3.759963904343099e-05,-0.029809399239363987,-0.2551084264779888,-0.22529902723862483,0.0,-0.0030081973377453775,48.327137546468165,0.0010853114919089357,0.4674999999999964,0.2849999999999966,0.00015039855617393768,0.0029701945030075135,-0.3786884343033593,0,0,0,0,0,0
