epoch,lr-Adam,step,train_loss
,0.001,0,
0,,19,1.2382858991622925
0,,39,0.34824588894844055
0,,59,1.47090744972229
0,,79,1.0160422325134277
0,,99,0.47240811586380005
0,,119,0.5178418755531311
0,,139,2.624398708343506
0,,159,1.9018497467041016
0,,179,3.1473381519317627
0,,199,0.5334026217460632
0,,219,1.3395196199417114
0,,239,1.2124989032745361
0,,259,2.147050142288208
0,,279,1.1521294116973877
0,,299,1.670304536819458
0,,319,1.244590163230896
0,,339,4.206783771514893
0,,359,1.603599190711975
0,,379,0.3895808160305023
0,,399,0.8342984318733215
0,,419,2.537947654724121
0,,439,3.915935754776001
0,,459,1.4296472072601318
0,,479,0.932583212852478
0,,499,0.43696409463882446
0,,519,0.460901141166687
0,,539,2.0786025524139404
0,,559,1.786118507385254
0,,579,0.4334510266780853
0,,599,0.34835144877433777
0,,619,2.024317741394043
0,,639,1.1739662885665894
0,,659,0.37331056594848633
0,,679,1.8533618450164795
0,,699,1.3779587745666504
0,,719,0.4539111852645874
0,,739,0.36995822191238403
0,,759,4.597679138183594
0,,779,3.347433567047119
0,,799,2.293400764465332
0,,819,5.36242151260376
0,,839,3.580099582672119
0,,859,1.1637229919433594
0,,879,1.2512776851654053
0,,899,3.5267281532287598
0,,919,1.7380484342575073
0,,939,1.0569183826446533
0,,959,1.4800193309783936
0,,979,4.779512405395508
0,,999,3.17082142829895
0,,1019,1.0795354843139648
0,,1039,1.1418508291244507
0,,1059,1.5370811223983765
0,,1079,2.171194553375244
0,,1099,1.230497121810913
0,,1119,0.1728341430425644
0,,1139,1.3844903707504272
0,,1159,0.2472238838672638
0,,1179,3.92095947265625
0,,1199,4.581948757171631
0,,1219,0.20040684938430786
0,,1239,4.104276180267334
0,,1259,2.760169506072998
0,,1279,0.8286671042442322
0,,1299,2.9649713039398193
0,,1319,3.011709213256836
0,,1339,1.3258230686187744
0,,1359,2.4283370971679688
0,,1379,0.16090109944343567
0,,1399,3.2618236541748047
0,,1419,5.257140159606934
0,,1439,3.402763843536377
0,,1459,1.0285648107528687
0,,1479,4.1142120361328125
0,,1499,4.274959564208984
0,,1519,5.547535419464111
0,,1539,2.4152042865753174
0,,1559,0.11454029381275177
0,,1579,0.10813123732805252
0,,1599,1.807461142539978
0,,1619,4.915034294128418
0,,1639,2.1186716556549072
0,,1659,0.0764675885438919
0,,1679,0.041875556111335754
0,,1699,0.09204422682523727
0,,1719,1.1639460325241089
0,,1739,0.19664546847343445
0,,1759,1.8715341091156006
0,,1779,1.2074416875839233
0,,1799,2.6537811756134033
0,,1819,4.520856857299805
0,,1839,3.5085015296936035
0,,1859,2.124378204345703
0,,1879,3.0423974990844727
0,,1899,3.9635140895843506
0,,1919,7.216551780700684
0,,1939,6.490424156188965
0,,1959,7.697699546813965
