secid,board,timeframe,timestamp,open,high,low,close,volume,value,trades
LKOH,TQBR,1h,2024-03-11 09:00:00+00:00,7537.0,7537.0,7537.0,7537.0,1476,11124612.0,
LKOH,TQBR,1h,2024-03-11 10:00:00+00:00,7536.5,7592.5,7523.5,7562.5,213955,1618877322.5,
LKOH,TQBR,1h,2024-03-11 11:00:00+00:00,7563.0,7580.0,7543.0,7556.5,87903,664492420.0,
LKOH,TQBR,1h,2024-03-11 12:00:00+00:00,7557.5,7569.0,7535.0,7564.5,49383,372933549.5,
LKOH,TQBR,1h,2024-03-11 13:00:00+00:00,7566.5,7577.0,7562.5,7563.0,45672,345800766.0,
LKOH,TQBR,1h,2024-03-11 14:00:00+00:00,7563.5,7576.0,7559.5,7573.0,39998,302661509.5,
LKOH,TQBR,1h,2024-03-11 15:00:00+00:00,7572.5,7574.0,7555.5,7571.0,30888,233704605.5,
LKOH,TQBR,1h,2024-03-11 16:00:00+00:00,7571.0,7571.0,7554.5,7560.0,27072,204705311.5,
LKOH,TQBR,1h,2024-03-11 17:00:00+00:00,7560.0,7560.5,7530.0,7544.5,61605,464803072.0,
LKOH,TQBR,1h,2024-03-11 18:00:00+00:00,7543.0,7558.0,7540.0,7545.0,30623,231136323.5,
LKOH,TQBR,1h,2024-03-11 19:00:00+00:00,7548.5,7555.0,7546.0,7549.5,11177,84386189.0,
LKOH,TQBR,1h,2024-03-11 20:00:00+00:00,7550.0,7559.0,7549.5,7557.5,12382,93523343.5,
LKOH,TQBR,1h,2024-03-11 21:00:00+00:00,7557.5,7565.0,7555.5,7557.0,7812,59058837.5,
LKOH,TQBR,1h,2024-03-11 22:00:00+00:00,7559.0,7562.0,7549.5,7550.0,19221,145189837.0,
LKOH,TQBR,1h,2024-03-11 23:00:00+00:00,7552.0,7564.0,7545.5,7554.5,9557,72163993.5,
LKOH,TQBR,1h,2024-03-12 09:00:00+00:00,7539.0,7539.0,7539.0,7539.0,5336,40228104.0,
LKOH,TQBR,1h,2024-03-12 10:00:00+00:00,7536.0,7539.0,7481.5,7517.0,164013,1232222352.5,
LKOH,TQBR,1h,2024-03-12 11:00:00+00:00,7517.0,7550.5,7513.0,7544.5,55536,418635277.5,
LKOH,TQBR,1h,2024-03-12 12:00:00+00:00,7544.0,7544.5,7517.0,7521.5,30604,230438381.0,
LKOH,TQBR,1h,2024-03-12 13:00:00+00:00,7521.5,7530.0,7510.0,7522.5,46140,346943607.0,
LKOH,TQBR,1h,2024-03-12 14:00:00+00:00,7524.0,7549.5,7522.5,7537.0,37728,284312140.5,
LKOH,TQBR,1h,2024-03-12 15:00:00+00:00,7537.0,7537.0,7516.0,7524.0,75479,568079531.5,
LKOH,TQBR,1h,2024-03-12 16:00:00+00:00,7524.0,7575.5,7501.0,7514.0,405825,3057750265.0,
LKOH,TQBR,1h,2024-03-12 17:00:00+00:00,7514.5,7548.5,7507.0,7535.0,89789,675946040.5,
LKOH,TQBR,1h,2024-03-12 18:00:00+00:00,7534.5,7540.0,7511.5,7540.0,100951,759757081.5,
LKOH,TQBR,1h,2024-03-12 19:00:00+00:00,7536.0,7539.0,7522.0,7525.0,21464,161648114.0,
LKOH,TQBR,1h,2024-03-12 20:00:00+00:00,7525.0,7528.5,7510.0,7524.5,30127,226485310.0,
LKOH,TQBR,1h,2024-03-12 21:00:00+00:00,7524.5,7535.0,7522.0,7529.5,13614,102485300.0,
LKOH,TQBR,1h,2024-03-12 22:00:00+00:00,7529.5,7545.0,7529.0,7536.5,20911,157615353.0,
LKOH,TQBR,1h,2024-03-12 23:00:00+00:00,7536.0,7540.0,7521.0,7536.5,14026,105651425.5,
LKOH,TQBR,1h,2024-03-13 09:00:00+00:00,7538.0,7538.0,7538.0,7538.0,601,4530338.0,
LKOH,TQBR,1h,2024-03-13 10:00:00+00:00,7537.5,7554.5,7516.0,7524.5,81043,610141497.5,
LKOH,TQBR,1h,2024-03-13 11:00:00+00:00,7523.5,7526.0,7496.0,7505.0,78233,587451804.0,
LKOH,TQBR,1h,2024-03-13 12:00:00+00:00,7505.0,7514.5,7462.5,7465.5,136372,1020945792.5,
LKOH,TQBR,1h,2024-03-13 13:00:00+00:00,7465.0,7473.5,7426.0,7449.5,262007,1952093154.0,
LKOH,TQBR,1h,2024-03-13 14:00:00+00:00,7450.0,7462.0,7439.0,7460.0,96813,721579852.0,
LKOH,TQBR,1h,2024-03-13 15:00:00+00:00,7459.5,7475.0,7452.0,7459.5,109101,814211722.5,
LKOH,TQBR,1h,2024-03-13 16:00:00+00:00,7459.5,7460.0,7426.0,7449.5,168653,1255367717.5,
LKOH,TQBR,1h,2024-03-13 17:00:00+00:00,7449.5,7451.0,7440.0,7445.5,60489,450510671.5,
LKOH,TQBR,1h,2024-03-13 18:00:00+00:00,7445.0,7447.0,7415.0,7433.5,101150,751695134.0,
LKOH,TQBR,1h,2024-03-13 19:00:00+00:00,7430.0,7439.0,7409.5,7438.0,58373,433398741.5,
LKOH,TQBR,1h,2024-03-13 20:00:00+00:00,7438.5,7441.5,7425.0,7426.5,21956,163204610.5,
LKOH,TQBR,1h,2024-03-13 21:00:00+00:00,7427.0,7431.0,7421.0,7425.0,22004,163382887.5,
LKOH,TQBR,1h,2024-03-13 22:00:00+00:00,7424.5,7433.5,7422.0,7432.0,17485,129898554.0,
LKOH,TQBR,1h,2024-03-13 23:00:00+00:00,7432.5,7433.0,7425.0,7426.0,16028,119047549.5,
LKOH,TQBR,1h,2024-03-14 09:00:00+00:00,7426.0,7426.0,7426.0,7426.0,1389,10314714.0,
LKOH,TQBR,1h,2024-03-14 10:00:00+00:00,7426.5,7434.5,7371.0,7375.0,266906,1973794715.0,
LKOH,TQBR,1h,2024-03-14 11:00:00+00:00,7375.5,7405.0,7361.5,7389.5,212853,1571447385.0,
LKOH,TQBR,1h,2024-03-14 12:00:00+00:00,7389.5,7405.0,7379.5,7385.0,89863,664324750.0,
LKOH,TQBR,1h,2024-03-14 13:00:00+00:00,7386.0,7389.5,7365.5,7370.0,69881,515529915.5,
LKOH,TQBR,1h,2024-03-14 14:00:00+00:00,7370.0,7384.5,7367.0,7370.0,46842,345365242.5,
LKOH,TQBR,1h,2024-03-14 15:00:00+00:00,7370.0,7370.5,7321.5,7322.5,221362,1626516917.5,
LKOH,TQBR,1h,2024-03-14 16:00:00+00:00,7323.0,7339.5,7320.0,7325.0,137246,1005787162.0,
LKOH,TQBR,1h,2024-03-14 17:00:00+00:00,7327.5,7370.0,7324.5,7338.0,156751,1152011927.5,
LKOH,TQBR,1h,2024-03-14 18:00:00+00:00,7337.0,7354.0,7325.0,7354.0,90020,660609175.5,
LKOH,TQBR,1h,2024-03-14 19:00:00+00:00,7353.5,7353.5,7330.5,7352.5,21368,156957130.5,
LKOH,TQBR,1h,2024-03-14 20:00:00+00:00,7353.0,7375.0,7347.0,7368.0,29218,215139256.0,
LKOH,TQBR,1h,2024-03-14 21:00:00+00:00,7368.0,7369.0,7352.0,7353.0,11731,86348778.0,
LKOH,TQBR,1h,2024-03-14 22:00:00+00:00,7353.0,7383.0,7350.5,7382.5,19794,145872737.5,
LKOH,TQBR,1h,2024-03-14 23:00:00+00:00,7382.0,7382.5,7360.0,7370.0,14564,107386059.5,
LKOH,TQBR,1h,2024-03-15 09:00:00+00:00,7365.5,7365.5,7365.5,7365.5,2324,17117422.0,
LKOH,TQBR,1h,2024-03-15 10:00:00+00:00,7365.5,7404.0,7345.0,7345.5,179937,1326815205.0,
LKOH,TQBR,1h,2024-03-15 11:00:00+00:00,7345.5,7356.5,7337.0,7355.0,50957,374538124.5,
LKOH,TQBR,1h,2024-03-15 12:00:00+00:00,7354.5,7359.5,7352.0,7359.0,41829,307713842.5,
LKOH,TQBR,1h,2024-03-15 13:00:00+00:00,7359.0,7363.0,7350.5,7350.5,104927,772135853.0,
LKOH,TQBR,1h,2024-03-15 14:00:00+00:00,7351.0,7364.0,7336.5,7362.0,100063,736007816.0,
LKOH,TQBR,1h,2024-03-15 15:00:00+00:00,7362.0,7364.0,7345.0,7363.5,74178,545756927.0,
LKOH,TQBR,1h,2024-03-15 16:00:00+00:00,7362.5,7364.0,7349.0,7352.5,43025,316580331.5,
LKOH,TQBR,1h,2024-03-15 17:00:00+00:00,7350.5,7390.0,7349.5,7389.0,64371,474204986.0,
LKOH,TQBR,1h,2024-03-15 18:00:00+00:00,7389.0,7397.5,7365.0,7365.0,58744,433798280.0,
LKOH,TQBR,1h,2024-03-15 19:00:00+00:00,7370.0,7377.5,7365.0,7368.5,24160,178058211.5,
LKOH,TQBR,1h,2024-03-15 20:00:00+00:00,7369.0,7380.0,7366.0,7378.5,6346,46787060.0,
LKOH,TQBR,1h,2024-03-15 21:00:00+00:00,7378.5,7382.0,7370.0,7375.5,8614,63533470.5,
LKOH,TQBR,1h,2024-03-15 22:00:00+00:00,7376.5,7390.0,7374.5,7388.5,13492,99611563.5,
LKOH,TQBR,1h,2024-03-15 23:00:00+00:00,7388.5,7389.5,7375.0,7380.0,15285,112819316.5,
